season_id,season_label,club_name,club_url,matchday,date_raw,date,time,venue,ranking,opponent,result,status,system_of_play,attendance,home_team,away_team,home_score,away_score
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,2,Sun 26/07/2026,2026-07-26T00:00:00,5:00 AM,A,(10.),Tigres UANL,2:2,FINISHED,,,Tigres UANL,Atlético de San Luis,2.0,2.0
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,3,Sat 01/08/2026,2026-08-01T00:00:00,5:00 AM,H,(13.),Club Tijuana,-:-,SCHEDULED,,,Atlético de San Luis,Club Tijuana,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,4,Mon 17/08/2026,2026-08-17T00:00:00,1:00 AM,A,nan,América,-:-,SCHEDULED,,,América,Atlético de San Luis,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,5,Mon 24/08/2026,2026-08-24T00:00:00,1:00 AM,H,nan,Pachuca,-:-,SCHEDULED,,,Atlético de San Luis,Pachuca,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,6,Mon 31/08/2026,2026-08-31T00:00:00,4:00 AM,A,nan,Monterrey,-:-,SCHEDULED,,,Monterrey,Atlético de San Luis,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,1:00 AM,H,nan,Pachuca,-:-,SCHEDULED,,,Atlético de San Luis,Pachuca,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,8,Sun 13/09/2026,2026-09-13T00:00:00,1:00 AM,A,nan,León,-:-,SCHEDULED,,,León,Atlético de San Luis,,
2026,2026/2027,Atlético de San Luis,https://www.transfermarkt.com/atletico-de-san-luis/spielplan/verein/40188/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,1:00 AM,H,nan,Necaxa,-:-,SCHEDULED,,,Atlético de San Luis,Necaxa,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,1,Sat 18/07/2026,2026-07-18T00:00:00,3:00 AM,A,(2.),San Luis,2:3,FINISHED,4-2-3-1,21.945,San Luis,CD Cruz Azul,3.0,2.0
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,2,Wed 22/07/2026,2026-07-22T00:00:00,3:00 AM,H,(5.),Puebla FC,2:1,FINISHED,4-4-2 double 6,33.185,CD Cruz Azul,Puebla FC,2.0,1.0
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,5:00 AM,H,(2.),Atlante,-:-,SCHEDULED,,,CD Cruz Azul,Atlante,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,4,Mon 17/08/2026,2026-08-17T00:00:00,5:00 AM,A,nan,Club Tijuana,-:-,SCHEDULED,,,Club Tijuana,CD Cruz Azul,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,5:00 AM,H,nan,Atlas,-:-,SCHEDULED,,,CD Cruz Azul,Atlas,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,6,Sat 29/08/2026,2026-08-29T00:00:00,3:00 AM,A,nan,Necaxa,-:-,SCHEDULED,,,Necaxa,CD Cruz Azul,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,7,Mon 07/09/2026,2026-09-07T00:00:00,4:00 AM,H,nan,Santos Laguna,-:-,SCHEDULED,,,CD Cruz Azul,Santos Laguna,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,8,Sun 13/09/2026,2026-09-13T00:00:00,Unknown,H,nan,América,-:-,SCHEDULED,,,CD Cruz Azul,América,,
2026,2026/2027,CD Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/spielplan/verein/3711/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,3:00 AM,A,nan,Monterrey,-:-,SCHEDULED,,,Monterrey,CD Cruz Azul,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,1,Sun 19/07/2026,2026-07-19T00:00:00,5:10 AM,A,(5.),Querétaro FC,0:1,FINISHED,4-4-2 double 6,30.229,Querétaro FC,CF América,1.0,0.0
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,2,Sat 25/07/2026,2026-07-25T00:00:00,5:00 AM,A,(8.),Atlante,1:1,FINISHED,4-2-3-1,,Atlante,CF América,1.0,1.0
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,3,Mon 03/08/2026,2026-08-03T00:00:00,1:00 AM,H,(5.),Santos Laguna,-:-,SCHEDULED,,,CF América,Santos Laguna,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,4,Mon 17/08/2026,2026-08-17T00:00:00,1:00 AM,H,nan,San Luis,-:-,SCHEDULED,,,CF América,San Luis,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,5,Sat 22/08/2026,2026-08-22T00:00:00,5:00 AM,A,nan,FC Juárez,-:-,SCHEDULED,,,FC Juárez,CF América,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,6,Sun 30/08/2026,2026-08-30T00:00:00,3:00 AM,H,nan,Puebla FC,-:-,SCHEDULED,,,CF América,Puebla FC,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,3:00 AM,H,nan,Club Tijuana,-:-,SCHEDULED,,,CF América,Club Tijuana,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,8,Sun 13/09/2026,2026-09-13T00:00:00,Unknown,A,nan,CD Cruz Azul,-:-,SCHEDULED,,,CD Cruz Azul,CF América,,
2026,2026/2027,CF América,https://www.transfermarkt.com/cf-america/spielplan/verein/3631/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,5:00 AM,H,nan,Chivas,-:-,SCHEDULED,,,CF América,Chivas,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,1,Fri 17/07/2026,2026-07-17T00:00:00,3:00 AM,A,(14.),Necaxa,2:1,FINISHED,5-3-2,18.511,Necaxa,CF Atlante,1.0,2.0
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,2,Sat 25/07/2026,2026-07-25T00:00:00,5:00 AM,H,(13.),América,1:1,FINISHED,3-5-2 Attacking,,CF Atlante,América,1.0,1.0
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,5:00 AM,A,(14.),CD Cruz Azul,-:-,SCHEDULED,,,CD Cruz Azul,CF Atlante,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,4,Sun 16/08/2026,2026-08-16T00:00:00,1:00 AM,H,nan,Toluca,-:-,SCHEDULED,,,CF Atlante,Toluca,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,5,Sat 22/08/2026,2026-08-22T00:00:00,3:00 AM,A,nan,Tigres UANL,-:-,SCHEDULED,,,Tigres UANL,CF Atlante,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,6,Sat 29/08/2026,2026-08-29T00:00:00,3:00 AM,H,nan,León,-:-,SCHEDULED,,,CF Atlante,León,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,5:00 AM,A,nan,Atlas,-:-,SCHEDULED,,,Atlas,CF Atlante,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,8,Sat 12/09/2026,2026-09-12T00:00:00,5:00 AM,H,nan,Pachuca,-:-,SCHEDULED,,,CF Atlante,Pachuca,,
2026,2026/2027,CF Atlante,https://www.transfermarkt.com/cf-atlante/spielplan/verein/6709/saison_id/2026,9,Sat 19/09/2026,2026-09-19T00:00:00,3:00 AM,A,nan,Puebla FC,-:-,SCHEDULED,,,Puebla FC,CF Atlante,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,1,Sun 19/07/2026,2026-07-19T00:00:00,3:05 AM,H,(8.),Santos Laguna,3:2,FINISHED,4-2-3-1,47.872,CF Monterrey,Santos Laguna,3.0,2.0
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,2,Mon 27/07/2026,2026-07-27T00:00:00,1:00 AM,A,(6.),Necaxa,2:1,FINISHED,,,Necaxa,CF Monterrey,1.0,2.0
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,3:00 AM,A,nan,Atlas,-:-,SCHEDULED,,,Atlas,CF Monterrey,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,4,Sun 16/08/2026,2026-08-16T00:00:00,3:00 AM,H,nan,FC Juárez,-:-,SCHEDULED,,,CF Monterrey,FC Juárez,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,3:00 AM,A,nan,León,-:-,SCHEDULED,,,León,CF Monterrey,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,6,Mon 31/08/2026,2026-08-31T00:00:00,4:00 AM,H,nan,San Luis,-:-,SCHEDULED,,,CF Monterrey,San Luis,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,1:00 AM,A,nan,Querétaro FC,-:-,SCHEDULED,,,Querétaro FC,CF Monterrey,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,8,Mon 14/09/2026,2026-09-14T00:00:00,4:00 AM,H,nan,Tigres UANL,-:-,SCHEDULED,,,CF Monterrey,Tigres UANL,,
2026,2026/2027,CF Monterrey,https://www.transfermarkt.com/cf-monterrey/spielplan/verein/2407/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,3:00 AM,H,nan,CD Cruz Azul,-:-,SCHEDULED,,,CF Monterrey,CD Cruz Azul,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,1,Sun 19/07/2026,2026-07-19T00:00:00,1:00 AM,A,(6.),UNAM Pumas,0:3,FINISHED,4-2-3-1,15.021,UNAM Pumas,CF Pachuca,3.0,0.0
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,2,Mon 27/07/2026,2026-07-27T00:00:00,3:06 AM,H,(1.),Querétaro FC,1:2,FINISHED,,,CF Pachuca,Querétaro FC,1.0,2.0
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,3:00 AM,A,nan,León,-:-,SCHEDULED,,,León,CF Pachuca,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,4,Tue 18/08/2026,2026-08-18T00:00:00,5:00 AM,H,nan,Puebla FC,-:-,SCHEDULED,,,CF Pachuca,Puebla FC,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,5,Mon 24/08/2026,2026-08-24T00:00:00,1:00 AM,A,nan,San Luis,-:-,SCHEDULED,,,San Luis,CF Pachuca,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,6,Sun 30/08/2026,2026-08-30T00:00:00,1:00 AM,H,nan,Chivas,-:-,SCHEDULED,,,CF Pachuca,Chivas,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,7,Sat 05/09/2026,2026-09-05T00:00:00,5:00 AM,A,nan,FC Juárez,-:-,SCHEDULED,,,FC Juárez,CF Pachuca,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,1:00 AM,A,nan,San Luis,-:-,SCHEDULED,,,San Luis,CF Pachuca,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,8,Sat 12/09/2026,2026-09-12T00:00:00,5:00 AM,A,nan,Atlante,-:-,SCHEDULED,,,Atlante,CF Pachuca,,
2026,2026/2027,CF Pachuca,https://www.transfermarkt.com/cf-pachuca/spielplan/verein/4035/saison_id/2026,9,Mon 21/09/2026,2026-09-21T00:00:00,2:00 AM,H,nan,Club Tijuana,-:-,SCHEDULED,,,CF Pachuca,Club Tijuana,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,1,Sat 18/07/2026,2026-07-18T00:00:00,3:00 AM,H,(16.),Atlas,2:3,FINISHED,4-2-3-1,24.997,Club León FC,Atlas,2.0,3.0
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,2,Sat 25/07/2026,2026-07-25T00:00:00,5:00 AM,A,(11.),Club Tijuana,1:0,FINISHED,4-2-3-1,25.233,Club Tijuana,Club León FC,0.0,1.0
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,3,Sun 02/08/2026,2026-08-02T00:00:00,3:00 AM,H,(16.),Pachuca,-:-,SCHEDULED,,,Club León FC,Pachuca,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,4,Tue 18/08/2026,2026-08-18T00:00:00,3:00 AM,A,nan,Necaxa,-:-,SCHEDULED,,,Necaxa,Club León FC,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,3:00 AM,H,nan,Monterrey,-:-,SCHEDULED,,,Club León FC,Monterrey,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,6,Sat 29/08/2026,2026-08-29T00:00:00,3:00 AM,A,nan,Atlante,-:-,SCHEDULED,,,Atlante,Club León FC,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,8:00 PM,A,nan,UNAM Pumas,-:-,SCHEDULED,,,UNAM Pumas,Club León FC,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,8,Sun 13/09/2026,2026-09-13T00:00:00,1:00 AM,H,nan,San Luis,-:-,SCHEDULED,,,Club León FC,San Luis,,
2026,2026/2027,Club León FC,https://www.transfermarkt.com/club-leon-fc/spielplan/verein/4941/saison_id/2026,9,Mon 21/09/2026,2026-09-21T00:00:00,4:00 AM,A,nan,Querétaro FC,-:-,SCHEDULED,,,Querétaro FC,Club León FC,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,1,Fri 17/07/2026,2026-07-17T00:00:00,3:00 AM,H,(4.),Atlante,2:1,FINISHED,3-4-2-1,18.511,Club Necaxa,Atlante,2.0,1.0
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,2,Mon 27/07/2026,2026-07-27T00:00:00,1:00 AM,H,(7.),Monterrey,2:1,FINISHED,,,Club Necaxa,Monterrey,2.0,1.0
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,3,Mon 03/08/2026,2026-08-03T00:00:00,3:00 AM,A,nan,Toluca,-:-,SCHEDULED,,,Toluca,Club Necaxa,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,4,Tue 18/08/2026,2026-08-18T00:00:00,3:00 AM,H,nan,León,-:-,SCHEDULED,,,Club Necaxa,León,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,5,Mon 24/08/2026,2026-08-24T00:00:00,3:00 AM,A,nan,UNAM Pumas,-:-,SCHEDULED,,,UNAM Pumas,Club Necaxa,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,6,Sat 29/08/2026,2026-08-29T00:00:00,3:00 AM,H,nan,CD Cruz Azul,-:-,SCHEDULED,,,Club Necaxa,CD Cruz Azul,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,3:00 AM,A,nan,Tigres UANL,-:-,SCHEDULED,,,Tigres UANL,Club Necaxa,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,8,Sat 12/09/2026,2026-09-12T00:00:00,3:00 AM,H,nan,Puebla FC,-:-,SCHEDULED,,,Club Necaxa,Puebla FC,,
2026,2026/2027,Club Necaxa,https://www.transfermarkt.com/club-necaxa/spielplan/verein/1146/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,1:00 AM,A,nan,San Luis,-:-,SCHEDULED,,,San Luis,Club Necaxa,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,1,Fri 17/07/2026,2026-07-17T00:00:00,5:10 AM,H,(1.),Tigres UANL,3:1,FINISHED,4-1-4-1,25.333,Club Tijuana,Tigres UANL,3.0,1.0
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,2,Sat 25/07/2026,2026-07-25T00:00:00,5:00 AM,H,(2.),León,1:0,FINISHED,4-1-4-1,25.233,Club Tijuana,León,1.0,0.0
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,3,Sat 01/08/2026,2026-08-01T00:00:00,5:00 AM,A,(1.),San Luis,-:-,SCHEDULED,,,San Luis,Club Tijuana,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,4,Mon 17/08/2026,2026-08-17T00:00:00,5:00 AM,H,nan,CD Cruz Azul,-:-,SCHEDULED,,,Club Tijuana,CD Cruz Azul,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,1:07 AM,A,nan,Chivas,-:-,SCHEDULED,,,Chivas,Club Tijuana,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,6,Sat 29/08/2026,2026-08-29T00:00:00,5:00 AM,H,nan,UNAM Pumas,-:-,SCHEDULED,,,Club Tijuana,UNAM Pumas,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,7,Sun 06/09/2026,2026-09-06T00:00:00,3:00 AM,A,nan,América,-:-,SCHEDULED,,,América,Club Tijuana,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,8,Sat 12/09/2026,2026-09-12T00:00:00,5:00 AM,H,nan,Querétaro FC,-:-,SCHEDULED,,,Club Tijuana,Querétaro FC,,
2026,2026/2027,Club Tijuana,https://www.transfermarkt.com/club-tijuana/spielplan/verein/13353/saison_id/2026,9,Mon 21/09/2026,2026-09-21T00:00:00,2:00 AM,A,nan,Pachuca,-:-,SCHEDULED,,,Pachuca,Club Tijuana,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,1,Sun 19/07/2026,2026-07-19T00:00:00,3:07 AM,H,(11.),Toluca,0:2,FINISHED,3-4-2-1,41.182,Deportivo Guadalajara,Toluca,0.0,2.0
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,2,Sun 26/07/2026,2026-07-26T00:00:00,1:07 AM,H,(17.),FC Juárez,1:0,FINISHED,,,Deportivo Guadalajara,FC Juárez,1.0,0.0
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,3,Sat 01/08/2026,2026-08-01T00:00:00,3:00 AM,A,(11.),Puebla FC,-:-,SCHEDULED,,,Puebla FC,Deportivo Guadalajara,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,4,Mon 17/08/2026,2026-08-17T00:00:00,3:00 AM,A,nan,Santos Laguna,-:-,SCHEDULED,,,Santos Laguna,Deportivo Guadalajara,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,5,Sun 23/08/2026,2026-08-23T00:00:00,1:07 AM,H,nan,Club Tijuana,-:-,SCHEDULED,,,Deportivo Guadalajara,Club Tijuana,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,6,Sun 30/08/2026,2026-08-30T00:00:00,1:00 AM,A,nan,Pachuca,-:-,SCHEDULED,,,Pachuca,Deportivo Guadalajara,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,8,Mon 14/09/2026,2026-09-14T00:00:00,2:00 AM,H,nan,UNAM Pumas,-:-,SCHEDULED,,,Deportivo Guadalajara,UNAM Pumas,,
2026,2026/2027,Deportivo Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/spielplan/verein/6711/saison_id/2026,9,Sun 20/09/2026,2026-09-20T00:00:00,5:00 AM,A,nan,América,-:-,SCHEDULED,,,América,Deportivo Guadalajara,,
2026,2026/2027,Deportivo Toluca,https://www.transfermarkt.com/deportivo-toluca/spielplan/verein/1804/saison_id/2026,1,Sun 19/07/2026,2026-07-19T00:00:00,3:07 AM,A,(7.),Chivas,0:2,FINISHED,4-2-3-1,41.182,Chivas,Deportivo Toluca,2.0,0.0
2026,2026/2027,Deportivo Toluca,https://www.transfermarkt.com/deportivo-toluca/spielplan/verein/1804/saison_id/2026,2,Wed 22/07/2026,2026-07-22T00:00:00,5:05 AM,H,(3.),UNAM Pumas,1:2,FINISHED,4-2-3-1,27.273,Deportivo Toluca,UNAM Pumas,1.0,2.0
2026,2026/2027,Deportivo Toluca,https://www.transfermarkt.com/deportivo-toluca/spielplan/verein/1804/saison_id/2026,3,Mon 03/08/2026,2026-08-03T00:00:00,3:00 AM,H,(7.),Necaxa,-:-,SCHEDULED,,,Deportivo Toluca,Necaxa,,
